experiment	metric	value
7	prem_err_mtm_eps1	40.5266
7	prem_err_sd_mtm_eps1	4.4078
7	prem_bias_pct_mtm_eps1	-40.5266
7	prem_err_mtm_eps2	38.6060
7	prem_err_sd_mtm_eps2	4.7012
7	prem_bias_pct_mtm_eps2	-38.6060
7	prem_err_mtm_eps5	31.9439
7	prem_err_sd_mtm_eps5	5.9108
7	prem_bias_pct_mtm_eps5	-31.9439
7	prem_err_mtm_eps10	16.6350
7	prem_err_sd_mtm_eps10	8.2279
7	prem_bias_pct_mtm_eps10	-16.1571
7	reported_cell	qls_window_trim@eps=5%
