family	rung	repeat	fold	metric	value	note
anchor_lda4	45	1	3	cal_slope	8.23157676649554	
anchor_lda4	45	2	0	val_logloss	0.34920464731968703	
anchor_lda4	45	2	0	val_auc	0.98	
anchor_lda4	45	2	0	val_pr_auc	0.9809090909090908	
anchor_lda4	45	2	0	val_accuracy	0.9	
anchor_lda4	45	2	0	val_f1	0.9090909090909091	
anchor_lda4	45	2	0	cal_intercept	-3.0117528709672583	
anchor_lda4	45	2	0	cal_slope	1.0041965305421743	
anchor_lda4	45	2	1	val_logloss	0.01885871455440188	
anchor_lda4	45	2	1	val_auc	1.0	
anchor_lda4	45	2	1	val_pr_auc	1.0000000000000002	
anchor_lda4	45	2	1	val_accuracy	1.0	
anchor_lda4	45	2	1	val_f1	1.0	
anchor_lda4	45	2	1	cal_intercept	-2.9567745779409442	
anchor_lda4	45	2	1	cal_slope	3.3769844211893982	
anchor_lda4	45	2	2	val_logloss	0.3549808826087798	
anchor_lda4	45	2	2	val_auc	0.9800000000000001	
anchor_lda4	45	2	2	val_pr_auc	0.9833333333333333	
anchor_lda4	45	2	2	val_accuracy	0.85	
anchor_lda4	45	2	2	val_f1	0.8235294117647058	
anchor_lda4	45	2	2	cal_intercept	1.6570017077268333	
anchor_lda4	45	2	2	cal_slope	0.6519171574719104	
anchor_lda4	45	2	3	val_logloss	0.013970631852481753	
anchor_lda4	45	2	3	val_auc	1.0	
anchor_lda4	45	2	3	val_pr_auc	0.9999999999999999	
anchor_lda4	45	2	3	val_accuracy	1.0	
anchor_lda4	45	2	3	val_f1	1.0	
anchor_lda4	45	2	3	cal_intercept	1.1356722696840311	
anchor_lda4	45	2	3	cal_slope	3.435876146451786	
anchor_lda4	45	3	0	val_logloss	0.020441576867584833	
anchor_lda4	45	3	0	val_auc	1.0	
anchor_lda4	45	3	0	val_pr_auc	0.9999999999999999	
anchor_lda4	45	3	0	val_accuracy	1.0	
anchor_lda4	45	3	0	val_f1	1.0	
anchor_lda4	45	3	0	cal_intercept	1.5631078201735995	
anchor_lda4	45	3	0	cal_slope	4.028460062942764	
anchor_lda4	45	3	1	val_logloss	0.05197785004517218	
anchor_lda4	45	3	1	val_auc	1.0	
anchor_lda4	45	3	1	val_pr_auc	0.9999999999999999	
anchor_lda4	45	3	1	val_accuracy	1.0	
anchor_lda4	45	3	1	val_f1	1.0	
anchor_lda4	45	3	1	cal_intercept	4.145142780703917	
anchor_lda4	45	3	1	cal_slope	4.605622187701011	
anchor_lda4	45	3	2	val_logloss	0.15227073368901306	
anchor_lda4	45	3	2	val_auc	0.98	
anchor_lda4	45	3	2	val_pr_auc	0.9809090909090908	
anchor_lda4	45	3	2	val_accuracy	0.95	
anchor_lda4	45	3	2	val_f1	0.9523809523809523	
anchor_lda4	45	3	2	cal_intercept	-0.3164566477856188	
anchor_lda4	45	3	2	cal_slope	0.6854142265629207	
anchor_lda4	45	3	3	val_logloss	0.14332947443828464	
anchor_lda4	45	3	3	val_auc	1.0	
anchor_lda4	45	3	3	val_pr_auc	1.0000000000000002	
anchor_lda4	45	3	3	val_accuracy	0.9	
anchor_lda4	45	3	3	val_f1	0.9	
anchor_lda4	45	3	3	cal_intercept	-7.883942801931004	
anchor_lda4	45	3	3	cal_slope	8.533295352468768	
anchor_lda4	45	4	0	val_logloss	0.08357449061191527	
anchor_lda4	45	4	0	val_auc	1.0	
anchor_lda4	45	4	0	val_pr_auc	1.0	
anchor_lda4	45	4	0	val_accuracy	0.95	
anchor_lda4	45	4	0	val_f1	0.9473684210526315	
anchor_lda4	45	4	0	cal_intercept	-12.152561400589963	
anchor_lda4	45	4	0	cal_slope	8.458955010053959	
anchor_lda4	45	4	1	val_logloss	0.1127417079648704	
anchor_lda4	45	4	1	val_auc	1.0	
anchor_lda4	45	4	1	val_pr_auc	0.9999999999999999	
anchor_lda4	45	4	1	val_accuracy	0.95	
anchor_lda4	45	4	1	val_f1	0.9523809523809523	
anchor_lda4	45	4	1	cal_intercept	-40.43395802200384	
anchor_lda4	45	4	1	cal_slope	15.569514341003256	
anchor_lda4	45	4	2	val_logloss	0.15780449273258318	
anchor_lda4	45	4	2	val_auc	0.98	
anchor_lda4	45	4	2	val_pr_auc	0.9809090909090908	
anchor_lda4	45	4	2	val_accuracy	0.95	
anchor_lda4	45	4	2	val_f1	0.9523809523809523	
anchor_lda4	45	4	2	cal_intercept	-0.14085635680659248	
anchor_lda4	45	4	2	cal_slope	0.7300145480962587	
anchor_lda4	45	4	3	val_logloss	0.061683396781176084	
anchor_lda4	45	4	3	val_auc	1.0	
anchor_lda4	45	4	3	val_pr_auc	0.9999999999999999	
anchor_lda4	45	4	3	val_accuracy	1.0	
anchor_lda4	45	4	3	val_f1	1.0	
anchor_lda4	45	4	3	cal_intercept	-3.605367671580406	
anchor_lda4	45	4	3	cal_slope	8.924864743540992	
anchor_lda4	45	5	0	val_logloss	0.08513515104267703	
anchor_lda4	45	5	0	val_auc	1.0	
anchor_lda4	45	5	0	val_pr_auc	0.9999999999999999	
anchor_lda4	45	5	0	val_accuracy	0.95	
anchor_lda4	45	5	0	val_f1	0.9473684210526315	
anchor_lda4	45	5	0	cal_intercept	13.600042531522652	
anchor_lda4	45	5	0	cal_slope	4.4533465394790905	
anchor_lda4	45	5	1	val_logloss	0.11302884444043652	
anchor_lda4	45	5	1	val_auc	1.0	
anchor_lda4	45	5	1	val_pr_auc	0.9999999999999999	
anchor_lda4	45	5	1	val_accuracy	0.9	
anchor_lda4	45	5	1	val_f1	0.9090909090909091	
anchor_lda4	45	5	1	cal_intercept	-9.080505816482107	
anchor_lda4	45	5	1	cal_slope	10.09269387938089	
anchor_lda4	45	5	2	val_logloss	0.18493684660560308	
anchor_lda4	45	5	2	val_auc	0.98	
anchor_lda4	45	5	2	val_pr_auc	0.9809090909090908	
anchor_lda4	45	5	2	val_accuracy	0.95	
anchor_lda4	45	5	2	val_f1	0.9523809523809523	
anchor_lda4	45	5	2	cal_intercept	-0.9356177780517246	
anchor_lda4	45	5	2	cal_slope	0.8281196243741508	
anchor_lda4	45	5	3	val_logloss	0.07795061433169284	
anchor_lda4	45	5	3	val_auc	1.0	
anchor_lda4	45	5	3	val_pr_auc	1.0000000000000002	
anchor_lda4	45	5	3	val_accuracy	1.0	
anchor_lda4	45	5	3	val_f1	1.0	
anchor_lda4	45	5	3	cal_intercept	6.7593253118185315	
anchor_lda4	45	5	3	cal_slope	4.060839724002221	
anchor_lda4	45	6	0	val_logloss	0.02372828831375442	
anchor_lda4	45	6	0	val_auc	1.0	
anchor_lda4	45	6	0	val_pr_auc	1.0000000000000002	
anchor_lda4	45	6	0	val_accuracy	1.0	
anchor_lda4	45	6	0	val_f1	1.0	
anchor_lda4	45	6	0	cal_intercept	-3.131408333707928	
anchor_lda4	45	6	0	cal_slope	4.114739905072318	
anchor_lda4	45	6	1	val_logloss	0.35431722232897034	
anchor_lda4	45	6	1	val_auc	0.9800000000000001	
anchor_lda4	45	6	1	val_pr_auc	0.9833333333333333	
anchor_lda4	45	6	1	val_accuracy	0.85	
anchor_lda4	45	6	1	val_f1	0.8695652173913043	
anchor_lda4	45	6	1	cal_intercept	-1.8626937804206953	
anchor_lda4	45	6	1	cal_slope	0.6620089543275286	
anchor_lda4	45	6	2	val_logloss	0.02660796196614635	
anchor_lda4	45	6	2	val_auc	1.0	
anchor_lda4	45	6	2	val_pr_auc	0.9999999999999999	
anchor_lda4	45	6	2	val_accuracy	1.0	
anchor_lda4	45	6	2	val_f1	1.0	
anchor_lda4	45	6	2	cal_intercept	2.1924695738528523	
anchor_lda4	45	6	2	cal_slope	3.6296957757996546	
anchor_lda4	45	6	3	val_logloss	0.13826911631177824	
anchor_lda4	45	6	3	val_auc	0.98	
anchor_lda4	45	6	3	val_pr_auc	0.9809090909090908	
anchor_lda4	45	6	3	val_accuracy	0.9	
anchor_lda4	45	6	3	val_f1	0.9	
anchor_lda4	45	6	3	cal_intercept	0.43805386064691304	
anchor_lda4	45	6	3	cal_slope	1.0695062806520677	
anchor_lda4	45	7	0	val_logloss	0.1758060404862864	
anchor_lda4	45	7	0	val_auc	0.98	
anchor_lda4	45	7	0	val_pr_auc	0.9809090909090908	
anchor_lda4	45	7	0	val_accuracy	0.95	
anchor_lda4	45	7	0	val_f1	0.9523809523809523	
anchor_lda4	45	7	0	cal_intercept	-1.260515174622337	
anchor_lda4	45	7	0	cal_slope	0.7632764049012092	
anchor_lda4	45	7	1	val_logloss	0.04041080654440378	
anchor_lda4	45	7	1	val_auc	1.0	
anchor_lda4	45	7	1	val_pr_auc	0.9999999999999999	
anchor_lda4	45	7	1	val_accuracy	1.0	
anchor_lda4	45	7	1	val_f1	1.0	
anchor_lda4	45	7	1	cal_intercept	3.0439707972354504	
anchor_lda4	45	7	1	cal_slope	3.8461888899417276	
anchor_lda4	45	7	2	val_logloss	0.1369799726270933	
