rung	metric	scope	family	n_evals	n_na	n_ceiling	ceiling_share	mean_val_brier	mean_val_logloss
20	val_auc	family	logit_l2	40	0	17	0.425	0.060895	0.227137
20	val_auc	family	qda	40	0	22	0.55	0.045920	0.162255
20	val_auc	family	svm_rbf_platt	40	0	15	0.375	0.069301	0.248167
20	val_auc	family	tabpfn	40	0	21	0.525	0.047441	0.163442
20	val_auc	pooled	ALL	400	0	165	0.4125	0.075015	0.289482
20	val_pr_auc	family	anchor_lda4	40	0	24	0.6	0.046765	0.182256
20	val_pr_auc	family	hgbt	40	0	9	0.225	0.089151	0.673480
20	val_pr_auc	family	knn_tuned	40	0	14	0.35	0.066373	0.268422
20	val_pr_auc	family	lda_petal	40	0	23	0.575	0.049847	0.174527
20	val_pr_auc	family	lda_sepal	40	0	0	0.0	0.233090	0.666213
20	val_pr_auc	family	lda_shrinkage	40	0	20	0.5	0.041368	0.128918
20	val_pr_auc	family	logit_l2	40	0	17	0.425	0.060895	0.227137
20	val_pr_auc	family	qda	40	0	22	0.55	0.045920	0.162255
20	val_pr_auc	family	svm_rbf_platt	40	0	15	0.375	0.069301	0.248167
20	val_pr_auc	family	tabpfn	40	0	21	0.525	0.047441	0.163442
20	val_pr_auc	pooled	ALL	400	0	165	0.4125	0.075015	0.289482
20	val_f1	family	anchor_lda4	40	0	16	0.4	0.046765	0.182256
20	val_f1	family	hgbt	40	0	5	0.125	0.089151	0.673480
20	val_f1	family	knn_tuned	40	0	4	0.1	0.066373	0.268422
20	val_f1	family	lda_petal	40	0	12	0.3	0.049847	0.174527
20	val_f1	family	lda_sepal	40	0	0	0.0	0.233090	0.666213
20	val_f1	family	lda_shrinkage	40	0	11	0.275	0.041368	0.128918
20	val_f1	family	logit_l2	40	0	10	0.25	0.060895	0.227137
20	val_f1	family	qda	40	0	12	0.3	0.045920	0.162255
20	val_f1	family	svm_rbf_platt	40	0	6	0.15	0.069301	0.248167
20	val_f1	family	tabpfn	40	0	9	0.225	0.047441	0.163442
20	val_f1	pooled	ALL	400	0	85	0.2125	0.075015	0.289482
12	val_auc	family	anchor_lda4	40	0	18	0.45	0.070511	0.403930
12	val_auc	family	hgbt	40	0	3	0.075	0.102854	0.826423
12	val_auc	family	knn_tuned	40	0	12	0.3	0.084837	0.374108
12	val_auc	family	lda_petal	40	0	17	0.425	0.061027	0.242137
12	val_auc	family	lda_sepal	40	0	0	0.0	0.256714	0.754638
12	val_auc	family	lda_shrinkage	40	0	20	0.5	0.050332	0.169922
12	val_auc	family	logit_l2	40	0	19	0.475	0.075488	0.271383
12	val_auc	family	qda	40	0	16	0.4	0.060808	0.207269
12	val_auc	family	svm_rbf_platt	40	0	11	0.275	0.099041	0.338783
12	val_auc	family	tabpfn	40	0	19	0.475	0.057247	0.209008
12	val_auc	pooled	ALL	400	0	135	0.3375	0.091886	0.379760
12	val_pr_auc	family	anchor_lda4	40	0	18	0.45	0.070511	0.403930
12	val_pr_auc	family	hgbt	40	0	3	0.075	0.102854	0.826423
12	val_pr_auc	family	knn_tuned	40	0	12	0.3	0.084837	0.374108
12	val_pr_auc	family	lda_petal	40	0	17	0.425	0.061027	0.242137
12	val_pr_auc	family	lda_sepal	40	0	0	0.0	0.256714	0.754638
12	val_pr_auc	family	lda_shrinkage	40	0	20	0.5	0.050332	0.169922
12	val_pr_auc	family	logit_l2	40	0	19	0.475	0.075488	0.271383
12	val_pr_auc	family	qda	40	0	16	0.4	0.060808	0.207269
12	val_pr_auc	family	svm_rbf_platt	40	0	11	0.275	0.099041	0.338783
12	val_pr_auc	family	tabpfn	40	0	19	0.475	0.057247	0.209008
12	val_pr_auc	pooled	ALL	400	0	135	0.3375	0.091886	0.379760
12	val_f1	family	anchor_lda4	40	0	13	0.325	0.070511	0.403930
12	val_f1	family	hgbt	40	0	3	0.075	0.102854	0.826423
12	val_f1	family	knn_tuned	40	0	6	0.15	0.084837	0.374108
12	val_f1	family	lda_petal	40	0	12	0.3	0.061027	0.242137
12	val_f1	family	lda_sepal	40	0	0	0.0	0.256714	0.754638
12	val_f1	family	lda_shrinkage	40	0	11	0.275	0.050332	0.169922
12	val_f1	family	logit_l2	40	0	9	0.225	0.075488	0.271383
12	val_f1	family	qda	40	0	10	0.25	0.060808	0.207269
12	val_f1	family	svm_rbf_platt	40	0	6	0.15	0.099041	0.338783
12	val_f1	family	tabpfn	40	0	6	0.15	0.057247	0.209008
12	val_f1	pooled	ALL	400	0	76	0.19	0.091886	0.379760
8	val_auc	family	anchor_lda4	40	0	11	0.275	0.105488	0.796780
8	val_auc	family	hgbt	40	0	0	0.0	0.250000	0.693147
8	val_auc	family	knn_tuned	40	0	9	0.225	0.100211	0.376753
8	val_auc	family	lda_petal	40	0	16	0.4	0.084790	0.393774
8	val_auc	family	lda_sepal	40	0	0	0.0	0.256034	0.932687
8	val_auc	family	lda_shrinkage	40	0	22	0.55	0.065007	0.288226
8	val_auc	family	logit_l2	40	0	12	0.3	0.088289	0.304770
8	val_auc	family	qda	40	0	14	0.35	0.076944	0.271120
8	val_auc	family	svm_rbf_platt	40	0	7	0.175	0.151092	0.466090
8	val_auc	family	tabpfn	40	0	16	0.4	0.078974	0.280652
8	val_auc	pooled	ALL	400	0	107	0.2675	0.125683	0.480400
8	val_pr_auc	family	anchor_lda4	40	0	11	0.275	0.105488	0.796780
8	val_pr_auc	family	hgbt	40	0	0	0.0	0.250000	0.693147
8	val_pr_auc	family	knn_tuned	40	0	9	0.225	0.100211	0.376753
8	val_pr_auc	family	lda_petal	40	0	16	0.4	0.084790	0.393774
8	val_pr_auc	family	lda_sepal	40	0	0	0.0	0.256034	0.932687
8	val_pr_auc	family	lda_shrinkage	40	0	22	0.55	0.065007	0.288226
8	val_pr_auc	family	logit_l2	40	0	12	0.3	0.088289	0.304770
8	val_pr_auc	family	qda	40	0	14	0.35	0.076944	0.271120
8	val_pr_auc	family	svm_rbf_platt	40	0	7	0.175	0.151092	0.466090
8	val_pr_auc	family	tabpfn	40	0	16	0.4	0.078974	0.280652
8	val_pr_auc	pooled	ALL	400	0	107	0.2675	0.125683	0.480400
8	val_f1	family	anchor_lda4	40	0	6	0.15	0.105488	0.796780
8	val_f1	family	hgbt	40	0	0	0.0	0.250000	0.693147
8	val_f1	family	knn_tuned	40	0	3	0.075	0.100211	0.376753
8	val_f1	family	lda_petal	40	0	8	0.2	0.084790	0.393774
8	val_f1	family	lda_sepal	40	0	0	0.0	0.256034	0.932687
8	val_f1	family	lda_shrinkage	40	0	12	0.3	0.065007	0.288226
8	val_f1	family	logit_l2	40	0	5	0.125	0.088289	0.304770
8	val_f1	family	qda	40	0	6	0.15	0.076944	0.271120
8	val_f1	family	svm_rbf_platt	40	0	2	0.05	0.151092	0.466090
8	val_f1	family	tabpfn	40	0	5	0.125	0.078974	0.280652
8	val_f1	pooled	ALL	400	0	47	0.1175	0.125683	0.480400
