dgp	n	model	k_effective	irr	bias2	var	total	check_abs_err	mc_se
G1-linear-match	60	slda	100	0.11128534337646016	0.0001698809852335849	0.003151536549528324	0.11460676091122206	1.3877787807814457e-17	0.0002631748478493859
G1-linear-match	60	qda	100	0.11128534337646016	0.00016870310285032296	0.005114961953902049	0.11656900843321254	1.3877787807814457e-17	0.00037886664595702854
G1-linear-match	60	logit_l2	100	0.11128534337646016	0.0022563556100396428	0.002733427386873993	0.11627512637337381	1.3877787807814457e-17	0.00030000968421396826
G1-linear-match	60	svm_rbf_platt	100	0.11128534337646016	0.006179086370129149	0.010491266814543255	0.12795569656113254	2.7755575615628914e-17	0.0007289798441802284
G1-linear-match	60	hgbt	100	0.11128534337646016	0.0006290670563338817	0.04909942905932008	0.16101383949211415	2.7755575615628914e-17	0.0017016267885943508
G1-linear-match	120	lda	100	0.11128534337646016	3.357898003891892e-05	0.0027982844895652003	0.11411720684606431	2.7755575615628914e-17	0.00024729455616675876
G1-linear-match	120	slda	100	0.11128534337646016	7.602162915642168e-06	0.0019954970369095155	0.11328844257628536	2.7755575615628914e-17	0.00015161529433039975
G1-linear-match	120	qda	100	0.11128534337646016	5.9358923606227e-05	0.0034763230051328455	0.11482102530519925	1.3877787807814457e-17	0.00025721027236683813
G1-linear-match	120	logit_l2	100	0.11128534337646016	0.0009140459137377637	0.0024084619400916267	0.11460785123028958	1.3877787807814457e-17	0.0002601870733637784
G1-linear-match	120	svm_rbf_platt	100	0.11128534337646016	0.004124352097071024	0.00743221819930426	0.12284191367283544	1.3877787807814457e-17	0.0004994904970092044
G1-linear-match	120	hgbt	100	0.11128534337646016	0.0002848224031051838	0.03259437857414277	0.14416454435370812	0.0	0.001022518931115667
G1-linear-match	500	lda	100	0.11128534337646016	3.3323433984678666e-06	0.0005487448433891167	0.11183742056324775	0.0	4.5490248509102626e-05
G1-linear-match	500	slda	100	0.11128534337646016	2.4507187112096973e-06	0.0004145245263702654	0.11170231862154165	0.0	3.18851630319923e-05
G1-linear-match	500	qda	100	0.11128534337646016	8.599925182850328e-06	0.0007068165025438253	0.11200075980418685	1.3877787807814457e-17	4.6359788841855506e-05
G1-linear-match	500	logit_l2	100	0.11128534337646016	5.393856253492332e-05	0.0005467972721057124	0.11188607921110082	1.3877787807814457e-17	4.8246057573675e-05
G1-linear-match	500	svm_rbf_platt	100	0.11128534337646016	0.003814273464040876	0.002672554945372798	0.11777217178587383	1.3877787807814457e-17	0.0001202186713083731
G1-linear-match	500	hgbt	100	0.11128534337646016	8.773746172757443e-05	0.008687760051583133	0.12006084088977087	0.0	0.00018215864408263805
G2-irrelevant-dims	8	lda	100	0.11441717663835616	0.08198415244761542	0.07572852743480368	0.27212985652077526	0.0	0.005371705543317131
G2-irrelevant-dims	8	slda	100	0.11441717663835616	0.03316140047400201	0.17801868141998528	0.32559725853234345	0.0	0.007755140803254491
G2-irrelevant-dims	8	qda	0	nan	nan	nan	nan	nan	nan
G2-irrelevant-dims	8	logit_l2	100	0.11441717663835616	0.07342804388407206	0.07366275826967533	0.2615079787921035	0.0	0.0031653974380008608
G2-irrelevant-dims	8	svm_rbf_platt	100	0.11441717663835616	0.14478792373154592	0.0018822545945269718	0.26108735496442903	0.0	0.0008578927294859752
